,capacity_at_event_time,event,event_time,name,queue_at_event_time
0,0,request,973.0,Austin Health,0
1,1,request,2436.0,Austin Health,0
2,2,release,3282.5290971827917,Austin Health,0
3,1,release,5427.9255691043,Austin Health,0
4,0,request,9164.0,Austin Health,0
5,1,request,11119.0,Austin Health,0
6,2,request,11446.0,Austin Health,0
7,3,release,11913.14865223051,Austin Health,0
8,2,release,14190.165608344163,Austin Health,0
9,1,release,14494.533556255445,Austin Health,0
10,0,request,14632.0,Austin Health,0
11,1,request,15125.0,Austin Health,0
12,2,request,15511.0,Austin Health,0
13,3,release,17415.87015860894,Austin Health,0
14,2,release,18488.712257857107,Austin Health,0
15,1,release,18761.034754545544,Austin Health,0
16,0,request,19047.0,Austin Health,0
17,1,request,20312.0,Austin Health,0
18,2,request,20879.0,Austin Health,0
19,3,release,22185.243345207513,Austin Health,0
20,2,release,22727.88383694229,Austin Health,0
21,1,request,23090.0,Austin Health,0
22,2,release,24373.07779231768,Austin Health,0
23,1,request,25121.0,Austin Health,0
24,2,release,25936.15466864512,Austin Health,0
25,1,request,25949.0,Austin Health,0
26,2,request,25987.0,Austin Health,0
27,3,request,26909.0,Austin Health,0
28,4,release,28043.322032026234,Austin Health,0
29,3,release,28588.15885825672,Austin Health,0
30,2,release,29235.741283752624,Austin Health,0
31,1,release,30156.362516391066,Austin Health,0
32,0,request,30216.0,Austin Health,0
33,1,request,31130.0,Austin Health,0
34,2,request,32289.0,Austin Health,0
35,3,request,33099.0,Austin Health,0
36,4,release,33601.1810800191,Austin Health,0
37,3,release,34104.140046027955,Austin Health,0
38,2,request,34765.0,Austin Health,0
39,3,release,35256.08057258038,Austin Health,0
40,2,request,35845.0,Austin Health,0
41,3,release,36839.46231135133,Austin Health,0
42,2,release,37479.774684209726,Austin Health,0
43,1,release,39176.7799152378,Austin Health,0
44,0,request,42217.0,Austin Health,0
45,1,request,42728.0,Austin Health,0
46,2,request,45425.0,Austin Health,0
47,3,release,45431.38954901352,Austin Health,0
48,2,request,45612.0,Austin Health,0
49,3,request,45895.0,Austin Health,0
50,4,request,45992.0,Austin Health,0
51,5,release,46179.700102362614,Austin Health,0
52,4,request,48248.0,Austin Health,0
53,5,release,48396.96852786686,Austin Health,0
54,4,request,48556.0,Austin Health,0
55,5,release,48655.28603990478,Austin Health,0
56,4,release,49002.832453110685,Austin Health,0
57,3,release,49240.96506864086,Austin Health,0
58,2,release,50947.231166604804,Austin Health,0
59,1,request,50964.0,Austin Health,0
60,2,release,51670.46455821634,Austin Health,0
61,1,release,54330.87182914232,Austin Health,0
62,0,request,56655.0,Austin Health,0
63,1,request,56703.0,Austin Health,0
64,2,request,56899.0,Austin Health,0
65,3,request,58971.0,Austin Health,0
66,4,request,59876.0,Austin Health,0
67,5,release,59897.22850212161,Austin Health,0
68,4,release,60094.08152480204,Austin Health,0
69,3,release,60207.58258563089,Austin Health,0
70,2,request,61326.0,Austin Health,0
71,3,release,61776.89848607654,Austin Health,0
72,2,release,62954.825488593226,Austin Health,0
73,1,release,64322.96228750017,Austin Health,0
74,0,request,64725.0,Austin Health,0
75,1,request,66090.0,Austin Health,0
76,2,request,66136.0,Austin Health,0
77,3,request,67477.0,Austin Health,0
78,4,release,67915.62732765348,Austin Health,0
79,3,release,68759.5782675065,Austin Health,0
80,2,release,69227.63585695937,Austin Health,0
81,1,request,70011.0,Austin Health,0
82,2,release,70415.33827854562,Austin Health,0
83,1,request,73158.0,Austin Health,0
84,2,release,73266.97330287268,Austin Health,0
85,1,request,73408.0,Austin Health,0
86,2,request,73741.0,Austin Health,0
87,3,request,73987.0,Austin Health,0
88,4,request,75736.0,Austin Health,0
89,5,request,76179.0,Austin Health,0
90,5,release,76275.97775619822,Austin Health,1
91,5,release,76452.18327289724,Austin Health,0
92,4,request,76611.0,Austin Health,0
93,5,release,76856.76034261243,Austin Health,0
94,4,release,76877.18560708716,Austin Health,0
95,3,request,78369.0,Austin Health,0
96,4,release,79090.00286148286,Austin Health,0
97,3,release,79128.88618775482,Austin Health,0
98,2,release,79445.54494798322,Austin Health,0
99,1,release,81181.04077077139,Austin Health,0
100,0,request,82823.0,Austin Health,0
101,1,request,83961.0,Austin Health,0
102,2,request,84288.0,Austin Health,0
103,3,release,86425.21894686886,Austin Health,0
104,2,release,87242.39860065344,Austin Health,0
105,1,release,87260.61320351517,Austin Health,0
106,0,request,89450.0,Austin Health,0
107,1,request,90013.0,Austin Health,0
108,2,release,92650.41847165937,Austin Health,0
109,1,release,92660.80399506948,Austin Health,0
110,0,request,93946.0,Austin Health,0
111,1,release,97801.5668159773,Austin Health,0
112,0,request,98090.0,Austin Health,0
113,1,request,98339.0,Austin Health,0
114,2,request,100624.0,Austin Health,0
115,3,request,100847.0,Austin Health,0
116,4,release,100992.01327984112,Austin Health,0
117,3,request,101212.0,Austin Health,0
118,4,release,101435.13354981769,Austin Health,0
119,3,request,101925.0,Austin Health,0
120,4,request,103040.0,Austin Health,0
121,5,release,103258.8984415337,Austin Health,0
122,4,request,103547.0,Austin Health,0
123,5,release,104074.24298131146,Austin Health,0
124,4,release,104170.37234644862,Austin Health,0
125,3,request,104936.0,Austin Health,0
126,4,release,105040.21605392806,Austin Health,0
127,3,release,105976.582231569,Austin Health,0
128,2,release,106778.41876854583,Austin Health,0
129,1,request,107382.0,Austin Health,0
130,2,release,108350.23088577577,Austin Health,0
131,1,release,110229.3004155857,Austin Health,0
132,0,request,111673.0,Austin Health,0
133,1,release,114760.61996181746,Austin Health,0
134,0,request,115418.0,Austin Health,0
135,1,release,118387.68669933657,Austin Health,0
136,0,request,120090.0,Austin Health,0
137,1,request,120402.0,Austin Health,0
138,2,request,121721.0,Austin Health,0
139,3,request,122537.0,Austin Health,0
140,4,request,122832.0,Austin Health,0
141,5,release,123100.61991493846,Austin Health,0
142,4,release,123507.93671048887,Austin Health,0
143,3,release,123568.05354439969,Austin Health,0
144,2,request,123598.0,Austin Health,0
145,3,request,125321.0,Austin Health,0
146,4,release,125560.56700397715,Austin Health,0
147,3,release,125580.95434864769,Austin Health,0
148,2,release,127104.10822153024,Austin Health,0
149,1,release,128509.93777976962,Austin Health,0
150,0,request,130049.0,Austin Health,0
151,1,request,131394.0,Austin Health,0
152,2,release,133305.01519741036,Austin Health,0
153,1,release,133739.8669033012,Austin Health,0
154,0,request,134629.0,Austin Health,0
155,1,release,137800.96025664,Austin Health,0
156,0,request,140653.0,Austin Health,0
157,1,request,142087.0,Austin Health,0
158,2,request,143610.0,Austin Health,0
159,3,release,144011.31228721378,Austin Health,0
160,2,release,145553.32813966007,Austin Health,0
161,1,request,146004.0,Austin Health,0
162,2,release,146631.324594556,Austin Health,0
163,1,request,146653.0,Austin Health,0
164,2,request,148557.0,Austin Health,0
165,3,release,149036.12767786713,Austin Health,0
166,2,release,149139.76506108724,Austin Health,0
167,1,request,151186.0,Austin Health,0
168,2,release,151917.8609654956,Austin Health,0
169,1,release,154244.17592373615,Austin Health,0
170,0,request,155726.0,Austin Health,0
171,1,request,157788.0,Austin Health,0
172,2,release,159121.00376805512,Austin Health,0
173,1,request,159847.0,Austin Health,0
174,2,release,160907.12037007615,Austin Health,0
175,1,request,161919.0,Austin Health,0
176,2,request,162162.0,Austin Health,0
177,3,request,162604.0,Austin Health,0
178,4,release,162988.32454136334,Austin Health,0
179,3,request,163615.0,Austin Health,0
180,4,request,163809.0,Austin Health,0
181,5,request,164408.0,Austin Health,0
182,5,release,165041.50505677672,Austin Health,1
183,5,release,165041.50505677672,Austin Health,0
184,4,release,165285.96052349513,Austin Health,0
185,3,request,165572.0,Austin Health,0
186,4,request,165653.0,Austin Health,0
187,5,release,165716.5968448976,Austin Health,0
188,4,release,166467.95156527855,Austin Health,0
189,3,release,167242.1337561673,Austin Health,0
190,2,release,168033.61228026732,Austin Health,0
191,1,release,168822.77769995542,Austin Health,0
192,0,request,172012.0,Austin Health,0
193,1,release,174519.05730577663,Austin Health,0
194,0,request,174687.0,Austin Health,0
195,1,request,174979.0,Austin Health,0
196,2,request,176037.0,Austin Health,0
197,3,request,177209.0,Austin Health,0
198,4,release,177336.03465262204,Austin Health,0
199,3,release,177775.47603734428,Austin Health,0
200,2,request,178167.0,Austin Health,0
201,3,release,178939.54331152074,Austin Health,0
202,2,request,179098.0,Austin Health,0
203,3,release,180448.04974903815,Austin Health,0
204,2,release,181029.445507364,Austin Health,0
205,1,request,181723.0,Austin Health,0
206,2,release,181817.80030423784,Austin Health,0
207,1,request,181970.0,Austin Health,0
208,2,request,184297.0,Austin Health,0
209,3,release,184391.97063545723,Austin Health,0
210,2,release,185202.12653960194,Austin Health,0
211,1,request,186882.0,Austin Health,0
212,2,release,186971.5452315918,Austin Health,0
213,1,request,188183.0,Austin Health,0
214,2,request,188789.0,Austin Health,0
215,3,release,190063.25074584456,Austin Health,0
216,2,request,190084.0,Austin Health,0
217,3,release,190962.6837979756,Austin Health,0
218,2,request,191455.0,Austin Health,0
219,3,release,191564.65846182435,Austin Health,0
220,2,request,192152.0,Austin Health,0
221,3,release,192486.93134407236,Austin Health,0
222,2,release,194666.8117802431,Austin Health,0
223,1,request,194745.0,Austin Health,0
224,2,release,195710.98573736852,Austin Health,0
225,1,request,196624.0,Austin Health,0
226,2,release,197693.71614227694,Austin Health,0
227,1,release,199674.23914913082,Austin Health,0
228,0,request,201180.0,Austin Health,0
229,1,request,203280.0,Austin Health,0
230,2,release,204790.6019254237,Austin Health,0
231,1,release,205183.05155120557,Austin Health,0
232,0,request,206350.0,Austin Health,0
233,1,request,207266.0,Austin Health,0
234,2,request,209263.0,Austin Health,0
235,3,release,209616.22277143138,Austin Health,0
236,2,request,210416.0,Austin Health,0
237,3,release,210486.80189925263,Austin Health,0
238,2,request,211239.0,Austin Health,0
239,3,release,212070.62592325875,Austin Health,0
240,2,release,213421.24654697027,Austin Health,0
241,1,release,214346.8442824482,Austin Health,0
242,0,request,214725.0,Austin Health,0
243,1,release,217661.2441500244,Austin Health,0
244,0,request,219639.0,Austin Health,0
245,1,request,220476.0,Austin Health,0
246,2,release,221979.7260758329,Austin Health,0
247,1,release,223181.27921406,Austin Health,0
248,0,request,224607.0,Austin Health,0
249,1,release,227408.4224272533,Austin Health,0
250,0,request,227583.0,Austin Health,0
251,1,request,228209.0,Austin Health,0
252,2,request,228270.0,Austin Health,0
253,3,request,228961.0,Austin Health,0
254,4,request,229008.0,Austin Health,0
255,5,release,230596.0438025107,Austin Health,0
256,4,release,230769.5647853911,Austin Health,0
257,3,request,231057.0,Austin Health,0
258,4,request,231138.0,Austin Health,0
259,5,release,231254.15008622408,Austin Health,0
260,4,release,231638.76351765532,Austin Health,0
261,3,release,231847.2432237751,Austin Health,0
262,2,release,233511.91160296684,Austin Health,0
263,1,release,233530.2317934087,Austin Health,0
264,0,request,234314.0,Austin Health,0
265,1,request,236230.0,Austin Health,0
266,2,release,236667.1297443911,Austin Health,0
267,1,release,238638.4928239931,Austin Health,0
268,0,request,239421.0,Austin Health,0
269,1,request,240688.0,Austin Health,0
270,2,release,242391.81550638346,Austin Health,0
271,1,release,243658.9417530232,Austin Health,0
272,0,request,244308.0,Austin Health,0
273,1,release,246572.34622098177,Austin Health,0
274,0,request,247113.0,Austin Health,0
275,1,request,247926.0,Austin Health,0
276,2,request,247958.0,Austin Health,0
277,3,request,247964.0,Austin Health,0
278,4,request,248737.0,Austin Health,0
279,5,request,249599.0,Austin Health,0
280,5,release,250408.3776453503,Austin Health,1
281,5,release,250408.3776453503,Austin Health,0
282,4,release,250487.7050012961,Austin Health,0
283,3,release,250610.87920345896,Austin Health,0
284,2,release,250721.4806179262,Austin Health,0
285,1,release,251616.945789873,Austin Health,0
286,0,request,255856.0,Austin Health,0
287,1,request,256924.0,Austin Health,0
288,2,request,257920.0,Austin Health,0
289,3,release,259064.61574370647,Austin Health,0
290,2,release,259708.62883620805,Austin Health,0
291,1,request,260279.0,Austin Health,0
292,2,release,260701.692744892,Austin Health,0
293,1,request,262694.0,Austin Health,0
294,2,release,263543.32405975414,Austin Health,0
295,1,request,264578.0,Austin Health,0
296,2,release,265316.7373101275,Austin Health,0
297,1,request,267180.0,Austin Health,0
298,2,release,267648.0126120324,Austin Health,0
299,1,request,269466.0,Austin Health,0
300,2,request,269756.0,Austin Health,0
301,3,release,269923.1453753691,Austin Health,0
302,2,request,271331.0,Austin Health,0
303,3,request,271338.0,Austin Health,0
304,4,request,271644.0,Austin Health,0
305,5,release,272217.7005657508,Austin Health,0
306,4,request,272241.0,Austin Health,0
307,5,release,272268.689663282,Austin Health,0
308,4,request,272271.0,Austin Health,0
309,5,request,272287.0,Austin Health,0
310,5,request,273439.0,Austin Health,1
311,5,release,273852.1945318251,Austin Health,2
312,5,release,273852.1945318251,Austin Health,1
313,5,release,273852.1945318251,Austin Health,0
314,4,release,274358.0795988807,Austin Health,0
315,3,request,274464.0,Austin Health,0
316,4,release,274822.79007664375,Austin Health,0
317,3,release,274946.2396251842,Austin Health,0
318,2,release,275095.98658620735,Austin Health,0
319,1,request,275679.0,Austin Health,0
320,2,request,275783.0,Austin Health,0
321,3,request,276508.0,Austin Health,0
322,4,request,276875.0,Austin Health,0
323,5,release,277693.7075876772,Austin Health,0
324,4,release,278681.9877896306,Austin Health,0
325,3,release,278907.1224018157,Austin Health,0
326,2,release,279301.6523457301,Austin Health,0
327,1,request,279404.0,Austin Health,0
328,2,request,279894.0,Austin Health,0
329,3,release,279964.6708120241,Austin Health,0
330,2,request,280260.0,Austin Health,0
331,3,release,282798.87495649554,Austin Health,0
332,2,request,283098.0,Austin Health,0
333,3,release,283365.0467108153,Austin Health,0
334,2,release,283534.970153595,Austin Health,0
335,1,request,284067.0,Austin Health,0
336,2,release,286010.5893329817,Austin Health,0
337,1,release,286419.58848274144,Austin Health,0
338,0,request,288819.0,Austin Health,0
339,1,request,290876.0,Austin Health,0
340,2,release,292013.6662819007,Austin Health,0
341,1,release,293393.1209455246,Austin Health,0
342,0,request,293976.0,Austin Health,0
343,1,release,297623.6985259226,Austin Health,0
344,0,request,301875.0,Austin Health,0
345,1,request,303080.0,Austin Health,0
346,2,request,304273.0,Austin Health,0
347,3,release,304763.51837196795,Austin Health,0
348,2,request,305153.0,Austin Health,0
349,3,request,305313.0,Austin Health,0
350,4,request,305815.0,Austin Health,0
351,5,release,305963.499765769,Austin Health,0
352,4,request,306520.0,Austin Health,0
353,5,release,307094.0205553538,Austin Health,0
354,4,release,308041.42774208245,Austin Health,0
355,3,release,308079.9750231243,Austin Health,0
356,2,request,308259.0,Austin Health,0
357,3,release,308882.1233093999,Austin Health,0
358,2,release,309418.6061275485,Austin Health,0
359,1,release,311486.759520485,Austin Health,0
360,0,request,311942.0,Austin Health,0
361,1,request,312231.0,Austin Health,0
362,2,request,313364.0,Austin Health,0
363,3,release,315175.0774835119,Austin Health,0
364,2,release,315365.9259541406,Austin Health,0
365,1,release,316481.4736216959,Austin Health,0
366,0,request,317176.0,Austin Health,0
367,1,request,317614.0,Austin Health,0
368,2,request,317862.0,Austin Health,0
369,3,request,318677.0,Austin Health,0
370,4,release,319627.5285680936,Austin Health,0
371,3,request,319967.0,Austin Health,0
372,4,release,320289.87522474024,Austin Health,0
373,3,release,320345.94375954237,Austin Health,0
374,2,request,321060.0,Austin Health,0
375,3,release,321703.29391045665,Austin Health,0
376,2,request,321959.0,Austin Health,0
377,3,request,322015.0,Austin Health,0
378,4,request,322734.0,Austin Health,0
379,5,release,323211.69691007625,Austin Health,0
380,4,release,324082.73719559755,Austin Health,0
381,3,release,324310.2281001819,Austin Health,0
382,2,release,325198.0969720381,Austin Health,0
383,1,release,326166.93781931786,Austin Health,0
384,0,request,326700.0,Austin Health,0
385,1,request,327156.0,Austin Health,0
386,2,request,328911.0,Austin Health,0
387,3,release,329327.58372268657,Austin Health,0
388,2,request,330322.0,Austin Health,0
389,3,release,330671.5262777565,Austin Health,0
390,2,release,330938.3160831332,Austin Health,0
391,1,request,331175.0,Austin Health,0
392,2,release,332981.94463877875,Austin Health,0
393,1,release,334089.0614261516,Austin Health,0
394,0,request,337265.0,Austin Health,0
395,1,request,339103.0,Austin Health,0
396,2,request,340240.0,Austin Health,0
397,3,release,340490.5052088867,Austin Health,0
398,2,release,342717.562577131,Austin Health,0
399,1,release,343167.9512750836,Austin Health,0
400,0,request,343679.0,Austin Health,0
401,1,request,343989.0,Austin Health,0
402,2,release,346488.4253155909,Austin Health,0
403,1,release,347303.4818768397,Austin Health,0
404,0,request,348019.0,Austin Health,0
405,1,request,349157.0,Austin Health,0
406,2,request,350199.0,Austin Health,0
407,3,request,350741.0,Austin Health,0
408,4,release,350810.7784953467,Austin Health,0
409,3,release,351862.1798422695,Austin Health,0
410,2,release,353089.0568477669,Austin Health,0
411,1,request,353141.0,Austin Health,0
412,2,release,353322.7837625518,Austin Health,0
413,1,request,355089.0,Austin Health,0
414,2,release,355412.07161111815,Austin Health,0
415,1,request,356878.0,Austin Health,0
416,2,release,358251.3235084307,Austin Health,0
417,1,request,359452.0,Austin Health,0
418,2,request,360146.0,Austin Health,0
419,3,release,360262.3042670041,Austin Health,0
420,2,request,360578.0,Austin Health,0
421,3,request,360705.0,Austin Health,0
422,4,request,362058.0,Austin Health,0
423,5,request,362270.0,Austin Health,0
424,5,release,362478.51633551926,Austin Health,1
425,5,release,362710.1508513521,Austin Health,0
426,4,release,362922.1062604355,Austin Health,0
427,3,request,363290.0,Austin Health,0
428,4,request,363810.0,Austin Health,0
429,5,release,364027.182034793,Austin Health,0
430,4,request,364509.0,Austin Health,0
431,5,release,365138.9021757141,Austin Health,0
432,4,request,365641.0,Austin Health,0
433,5,release,365654.0261577825,Austin Health,0
434,4,request,365752.0,Austin Health,0
435,5,request,366036.0,Austin Health,0
436,5,release,366146.83185728535,Austin Health,1
437,5,release,366960.19195350853,Austin Health,0
438,4,release,367055.83187055204,Austin Health,0
439,3,request,368054.0,Austin Health,0
440,4,request,368255.0,Austin Health,0
441,5,release,368334.10116832185,Austin Health,0
442,4,release,368601.5085923239,Austin Health,0
443,3,request,369761.0,Austin Health,0
444,4,release,369886.3257039131,Austin Health,0
445,3,release,370635.41849606513,Austin Health,0
446,2,release,371207.08197771193,Austin Health,0
447,1,release,372659.6966723734,Austin Health,0
448,0,request,375202.0,Austin Health,0
449,1,request,377377.0,Austin Health,0
450,2,release,379021.65579101327,Austin Health,0
451,1,release,379908.16135953355,Austin Health,0
452,0,request,380016.0,Austin Health,0
453,1,request,381305.0,Austin Health,0
454,2,request,381442.0,Austin Health,0
455,3,release,382446.2835684267,Austin Health,0
456,2,request,383545.0,Austin Health,0
457,3,release,383900.2079060093,Austin Health,0
458,2,release,383996.4736468576,Austin Health,0
459,1,release,386315.82478252874,Austin Health,0
460,0,request,389959.0,Austin Health,0
461,1,request,390416.0,Austin Health,0
462,2,request,390832.0,Austin Health,0
463,3,request,391103.0,Austin Health,0
464,4,request,392922.0,Austin Health,0
465,5,release,393144.29511589865,Austin Health,0
466,4,release,393443.0147434617,Austin Health,0
467,3,release,393846.1589888137,Austin Health,0
468,2,release,393873.09373612626,Austin Health,0
469,1,request,395068.0,Austin Health,0
470,2,release,395787.6012573691,Austin Health,0
471,1,release,397254.0680421108,Austin Health,0
472,0,request,399135.0,Austin Health,0
473,1,release,401152.3591449025,Austin Health,0
474,0,request,404931.0,Austin Health,0
