,capacity_at_event_time,event,event_time,name,queue_at_event_time
0,0,request,538.0,Austin Health,0
1,1,request,1358.0,Austin Health,0
2,2,request,1397.0,Austin Health,0
3,3,request,1806.0,Austin Health,0
4,4,release,3705.08282524659,Austin Health,0
5,3,release,4356.497402530533,Austin Health,0
6,2,release,4399.616287398923,Austin Health,0
7,1,release,4671.911580596872,Austin Health,0
8,0,request,6211.0,Austin Health,0
9,1,release,8801.084225585942,Austin Health,0
10,0,request,10817.0,Austin Health,0
11,1,request,13198.0,Austin Health,0
12,2,release,13638.02623735425,Austin Health,0
13,1,request,15325.0,Austin Health,0
14,2,release,16540.610422892947,Austin Health,0
15,1,request,17628.0,Austin Health,0
16,2,release,17813.071720716285,Austin Health,0
17,1,request,19282.0,Austin Health,0
18,2,request,19341.0,Austin Health,0
19,3,release,20212.824038956576,Austin Health,0
20,2,request,20783.0,Austin Health,0
21,3,release,21921.821790967966,Austin Health,0
22,2,release,21975.79191024973,Austin Health,0
23,1,release,23829.345255166292,Austin Health,0
24,0,request,24313.0,Austin Health,0
25,1,release,27289.89920927767,Austin Health,0
26,0,request,30878.0,Austin Health,0
27,1,release,34339.50196614916,Austin Health,0
28,0,request,37303.0,Austin Health,0
29,1,request,38325.0,Austin Health,0
30,2,request,38740.0,Austin Health,0
31,3,release,39758.909071801056,Austin Health,0
32,2,release,40711.133371371565,Austin Health,0
33,1,request,40774.0,Austin Health,0
34,2,release,41237.246156318775,Austin Health,0
35,1,request,43056.0,Austin Health,0
36,2,request,43098.0,Austin Health,0
37,3,request,43607.0,Austin Health,0
38,4,release,43623.16515093952,Austin Health,0
39,3,request,44636.0,Austin Health,0
40,4,request,45179.0,Austin Health,0
41,5,release,45809.579053477115,Austin Health,0
42,4,release,46192.15250837411,Austin Health,0
43,3,release,46543.54435571995,Austin Health,0
44,2,release,47641.32801082424,Austin Health,0
45,1,request,47913.0,Austin Health,0
46,2,release,48197.504852408405,Austin Health,0
47,1,request,49030.0,Austin Health,0
48,2,release,50601.21115490213,Austin Health,0
49,1,request,51759.0,Austin Health,0
50,2,release,52296.78782268865,Austin Health,0
51,1,request,53533.0,Austin Health,0
52,2,release,54763.43116952469,Austin Health,0
53,1,request,55653.0,Austin Health,0
54,2,request,55712.0,Austin Health,0
55,3,release,56219.07783271696,Austin Health,0
56,2,release,58472.240210503725,Austin Health,0
57,1,release,59261.66338519106,Austin Health,0
58,0,request,59418.0,Austin Health,0
59,1,release,62314.29963305165,Austin Health,0
60,0,request,63864.0,Austin Health,0
61,1,request,64264.0,Austin Health,0
62,2,release,67085.01805241457,Austin Health,0
63,1,release,67587.9117456678,Austin Health,0
64,0,request,68267.0,Austin Health,0
65,1,request,69322.0,Austin Health,0
66,2,release,70864.35994898644,Austin Health,0
67,1,release,72333.74843784276,Austin Health,0
68,0,request,72607.0,Austin Health,0
69,1,request,73652.0,Austin Health,0
70,2,request,75000.0,Austin Health,0
71,3,release,75121.88850751628,Austin Health,0
72,2,release,76529.37053368469,Austin Health,0
73,1,release,77289.65980225413,Austin Health,0
74,0,request,78788.0,Austin Health,0
75,1,request,79007.0,Austin Health,0
