,capacity_at_event_time,event,event_time,name,queue_at_event_time
0,0,request,567.0,Monash Health,0
1,1,request,689.0,Monash Health,0
2,2,request,963.0,Monash Health,0
3,3,request,1624.0,Monash Health,0
4,4,request,2472.0,Monash Health,0
5,5,request,3046.0,Monash Health,0
6,5,release,3563.1343078256396,Monash Health,1
7,5,release,3563.1343078256396,Monash Health,0
8,4,release,3731.626742442163,Monash Health,0
9,3,request,3840.0,Monash Health,0
10,4,release,3937.034896755709,Monash Health,0
11,3,request,4188.0,Monash Health,0
12,4,release,4359.845269126221,Monash Health,0
13,3,request,4930.0,Monash Health,0
14,4,request,4975.0,Monash Health,0
15,5,release,5221.96544678941,Monash Health,0
16,4,request,5260.0,Monash Health,0
17,5,release,6447.278123885153,Monash Health,0
18,4,release,7135.827261651877,Monash Health,0
19,3,request,7299.0,Monash Health,0
20,4,release,7354.4497175812685,Monash Health,0
21,3,request,7392.0,Monash Health,0
22,4,release,7696.432836041338,Monash Health,0
23,3,request,7981.0,Monash Health,0
24,4,release,8016.969925066148,Monash Health,0
25,3,request,8862.0,Monash Health,0
26,4,request,8878.0,Monash Health,0
27,5,release,10256.235680380223,Monash Health,0
28,4,release,10347.249314974923,Monash Health,0
29,3,release,10569.03455703417,Monash Health,0
30,2,request,11098.0,Monash Health,0
31,3,release,11208.699133242399,Monash Health,0
32,2,release,11850.92878120633,Monash Health,0
33,1,request,11910.0,Monash Health,0
34,2,request,12374.0,Monash Health,0
35,3,release,13888.779276771551,Monash Health,0
36,2,release,15478.550006575995,Monash Health,0
37,1,release,15589.23893432165,Monash Health,0
38,0,request,16105.0,Monash Health,0
39,1,request,16300.0,Monash Health,0
40,2,request,17953.0,Monash Health,0
41,3,request,18123.0,Monash Health,0
42,4,request,18334.0,Monash Health,0
43,5,release,18679.382374665962,Monash Health,0
44,4,release,19588.449010884116,Monash Health,0
45,3,request,19753.0,Monash Health,0
46,4,request,20342.0,Monash Health,0
47,5,release,20423.960383785037,Monash Health,0
48,4,release,20767.996446972662,Monash Health,0
49,3,release,21401.997389524273,Monash Health,0
50,2,request,22126.0,Monash Health,0
51,3,request,22404.0,Monash Health,0
52,4,request,22480.0,Monash Health,0
53,5,request,22545.0,Monash Health,0
54,5,release,22613.708328928187,Monash Health,1
55,5,release,23679.385458048146,Monash Health,0
56,4,request,23919.0,Monash Health,0
57,5,release,25202.83590221133,Monash Health,0
58,4,request,25229.0,Monash Health,0
59,5,request,25398.0,Monash Health,0
60,5,release,25458.540853434202,Monash Health,1
61,5,release,25822.57941743917,Monash Health,0
62,4,release,25863.654562135427,Monash Health,0
63,3,request,26585.0,Monash Health,0
64,4,request,26887.0,Monash Health,0
65,5,release,26914.696004784233,Monash Health,0
66,4,release,27910.27366403274,Monash Health,0
67,3,request,28178.0,Monash Health,0
68,4,release,28404.872242582172,Monash Health,0
69,3,request,28469.0,Monash Health,0
70,4,request,28675.0,Monash Health,0
71,5,release,29471.74820531218,Monash Health,0
72,4,request,29589.0,Monash Health,0
73,5,release,29738.436657582723,Monash Health,0
74,4,request,29815.0,Monash Health,0
75,5,release,30979.157393574395,Monash Health,0
76,4,release,31092.542847730707,Monash Health,0
77,3,request,31404.0,Monash Health,0
78,4,release,31763.95212721629,Monash Health,0
79,3,request,31992.0,Monash Health,0
80,4,release,32528.867642098532,Monash Health,0
81,3,request,33219.0,Monash Health,0
82,4,release,33316.52960199677,Monash Health,0
83,3,request,33667.0,Monash Health,0
84,4,request,33775.0,Monash Health,0
85,5,release,34034.87396015696,Monash Health,0
86,4,request,34252.0,Monash Health,0
87,5,release,34551.801139551775,Monash Health,0
88,4,request,35988.0,Monash Health,0
89,5,request,36050.0,Monash Health,0
90,5,release,36259.1555136926,Monash Health,1
91,5,request,36364.0,Monash Health,0
92,5,request,36492.0,Monash Health,1
93,5,release,36571.009526189,Monash Health,2
94,5,release,36584.29753261825,Monash Health,1
95,5,release,37290.314373571506,Monash Health,0
96,4,release,39074.309868074706,Monash Health,0
97,3,release,39177.433008008906,Monash Health,0
98,2,request,39280.0,Monash Health,0
99,3,release,39530.46794538583,Monash Health,0
100,2,request,39558.0,Monash Health,0
101,3,release,39840.95190138689,Monash Health,0
102,2,request,41581.0,Monash Health,0
103,3,request,41651.0,Monash Health,0
104,4,request,41933.0,Monash Health,0
105,5,release,42031.7225749279,Monash Health,0
106,4,request,42661.0,Monash Health,0
107,5,release,42971.93374818409,Monash Health,0
108,4,release,43904.25177747468,Monash Health,0
109,3,release,44181.6580234899,Monash Health,0
110,2,request,44814.0,Monash Health,0
111,3,request,44935.0,Monash Health,0
112,4,release,45098.60947157882,Monash Health,0
113,3,release,45197.96853841868,Monash Health,0
114,2,request,45932.0,Monash Health,0
115,3,request,46944.0,Monash Health,0
116,4,release,47572.46223408769,Monash Health,0
117,3,release,47577.95853848447,Monash Health,0
118,2,request,47669.0,Monash Health,0
119,3,request,47829.0,Monash Health,0
120,4,request,47889.0,Monash Health,0
121,5,request,48073.0,Monash Health,0
122,5,request,48174.0,Monash Health,1
123,5,request,48533.0,Monash Health,2
124,5,release,48920.853420091305,Monash Health,3
125,5,release,48920.853420091305,Monash Health,2
126,5,release,48920.853420091305,Monash Health,1
127,5,release,48920.853420091305,Monash Health,0
128,4,release,49991.11398227642,Monash Health,0
129,3,release,50157.541266773194,Monash Health,0
130,2,request,50227.0,Monash Health,0
131,3,release,50511.646087322995,Monash Health,0
132,2,release,50535.60617448744,Monash Health,0
133,1,request,50656.0,Monash Health,0
134,2,request,51473.0,Monash Health,0
135,3,request,51573.0,Monash Health,0
136,4,request,51581.0,Monash Health,0
137,5,request,52735.0,Monash Health,0
138,5,release,52739.469120753725,Monash Health,1
139,5,release,52820.01936639087,Monash Health,0
140,4,request,53158.0,Monash Health,0
141,5,request,53512.0,Monash Health,0
142,5,request,53553.0,Monash Health,1
143,5,request,53869.0,Monash Health,2
144,5,release,54182.35891601716,Monash Health,3
145,5,release,54182.35891601716,Monash Health,2
146,5,release,54182.35891601716,Monash Health,1
147,5,release,54472.63756491839,Monash Health,0
148,4,release,54473.76088941668,Monash Health,0
149,3,request,54617.0,Monash Health,0
150,4,request,55246.0,Monash Health,0
151,5,request,55570.0,Monash Health,0
152,5,release,55733.33139060745,Monash Health,1
153,5,release,56801.99793046874,Monash Health,0
154,4,release,56889.06282253391,Monash Health,0
155,3,request,57622.0,Monash Health,0
156,4,request,57745.0,Monash Health,0
157,5,release,57954.37225664603,Monash Health,0
158,4,release,58109.426706813654,Monash Health,0
159,3,request,58171.0,Monash Health,0
160,4,release,58239.71650148573,Monash Health,0
161,3,request,58560.0,Monash Health,0
162,4,request,58671.0,Monash Health,0
163,5,request,59955.0,Monash Health,0
164,5,release,60176.11478515029,Monash Health,1
165,5,release,60362.81017353097,Monash Health,0
166,4,request,60796.0,Monash Health,0
167,5,release,61394.91825787116,Monash Health,0
168,4,release,61596.54141386738,Monash Health,0
169,3,release,62015.81698824306,Monash Health,0
170,2,request,62633.0,Monash Health,0
171,3,release,62937.51094203032,Monash Health,0
172,2,request,63319.0,Monash Health,0
173,3,release,63637.555436501105,Monash Health,0
174,2,request,63705.0,Monash Health,0
175,3,request,63985.0,Monash Health,0
176,4,request,64384.0,Monash Health,0
177,5,release,64969.20534063164,Monash Health,0
178,4,release,66499.94379009567,Monash Health,0
179,3,request,66524.0,Monash Health,0
180,4,release,66578.91025414628,Monash Health,0
181,3,release,67424.05963133884,Monash Health,0
182,2,release,67901.20464223843,Monash Health,0
183,1,request,68126.0,Monash Health,0
184,2,request,68311.0,Monash Health,0
185,3,request,68387.0,Monash Health,0
186,4,request,68511.0,Monash Health,0
187,5,request,68721.0,Monash Health,0
188,5,request,68763.0,Monash Health,1
189,5,release,68939.9102848806,Monash Health,2
190,5,request,69241.0,Monash Health,1
191,5,request,70201.0,Monash Health,2
192,5,release,70497.25729510107,Monash Health,3
193,5,release,70497.25729510107,Monash Health,2
194,5,release,70497.25729510107,Monash Health,1
195,5,request,70572.0,Monash Health,0
196,5,request,70614.0,Monash Health,1
197,5,request,70705.0,Monash Health,2
198,5,release,71063.04853912178,Monash Health,3
199,5,release,71063.04853912178,Monash Health,2
200,5,release,71063.04853912178,Monash Health,1
201,5,release,71063.04853912178,Monash Health,0
202,4,release,71308.64786985202,Monash Health,0
203,3,release,71464.61663814935,Monash Health,0
204,2,release,71480.1095906562,Monash Health,0
205,1,request,71766.0,Monash Health,0
206,2,request,72973.0,Monash Health,0
207,3,release,73174.08928880951,Monash Health,0
208,2,request,73231.0,Monash Health,0
209,3,request,73951.0,Monash Health,0
210,4,request,74349.0,Monash Health,0
211,5,release,74605.4571792238,Monash Health,0
212,4,request,74684.0,Monash Health,0
213,5,request,75402.0,Monash Health,0
214,5,request,75888.0,Monash Health,1
215,5,release,75927.62635266795,Monash Health,2
216,5,release,75927.62635266795,Monash Health,1
217,5,request,76046.0,Monash Health,0
218,5,release,76110.20602088407,Monash Health,1
219,5,request,76130.0,Monash Health,0
220,5,request,76153.0,Monash Health,1
221,5,request,76609.0,Monash Health,2
222,5,request,76700.0,Monash Health,3
223,5,release,76791.58366738437,Monash Health,4
224,5,release,76791.58366738437,Monash Health,3
225,5,release,76791.58366738437,Monash Health,2
226,5,request,77353.0,Monash Health,1
227,5,release,77431.86054717668,Monash Health,2
228,5,release,77431.86054717668,Monash Health,1
229,5,request,77450.0,Monash Health,0
230,5,release,77688.34112466256,Monash Health,1
231,5,request,77691.0,Monash Health,0
232,5,request,77806.0,Monash Health,1
233,5,release,78405.39525390741,Monash Health,2
234,5,release,78405.39525390741,Monash Health,1
235,5,release,78405.39525390741,Monash Health,0
236,4,request,79123.0,Monash Health,0
237,5,release,79549.74318765658,Monash Health,0
238,4,request,79576.0,Monash Health,0
239,5,release,79846.96467198504,Monash Health,0
240,4,request,80071.0,Monash Health,0
241,5,request,80605.0,Monash Health,0
242,5,release,80648.16730812567,Monash Health,1
243,5,release,80708.59693625175,Monash Health,0
244,4,request,80854.0,Monash Health,0
245,5,request,81278.0,Monash Health,0
246,5,request,81361.0,Monash Health,1
247,5,request,81604.0,Monash Health,2
248,5,request,81731.0,Monash Health,3
249,5,request,82058.0,Monash Health,4
250,5,release,82229.10220209182,Monash Health,5
251,5,release,82229.10220209182,Monash Health,4
252,5,release,82229.10220209182,Monash Health,3
253,5,release,82229.10220209182,Monash Health,2
254,5,release,82229.10220209182,Monash Health,1
255,5,request,82287.0,Monash Health,0
256,5,release,82325.88559434195,Monash Health,1
257,5,request,82648.0,Monash Health,0
258,5,request,82868.0,Monash Health,1
259,5,release,83255.89910975644,Monash Health,2
260,5,release,83255.89910975644,Monash Health,1
261,5,release,83255.89910975644,Monash Health,0
262,4,release,83431.89641434113,Monash Health,0
263,3,release,83856.64711970463,Monash Health,0
264,2,release,84657.67789640263,Monash Health,0
265,1,release,85478.60854033874,Monash Health,0
266,0,request,86775.0,Monash Health,0
267,1,request,86913.0,Monash Health,0
268,2,request,86949.0,Monash Health,0
269,3,request,87661.0,Monash Health,0
270,4,release,89784.11795908291,Monash Health,0
271,3,release,89891.38388079464,Monash Health,0
272,2,request,90033.0,Monash Health,0
273,3,release,90039.14320163286,Monash Health,0
274,2,request,90122.0,Monash Health,0
275,3,release,90518.29990430186,Monash Health,0
276,2,request,91319.0,Monash Health,0
277,3,request,91455.0,Monash Health,0
278,4,request,91566.0,Monash Health,0
279,5,request,91819.0,Monash Health,0
280,5,release,92367.78793682819,Monash Health,1
281,5,release,92367.78793682819,Monash Health,0
282,4,release,92561.04978354902,Monash Health,0
283,3,request,92652.0,Monash Health,0
284,4,request,92738.0,Monash Health,0
285,5,request,93026.0,Monash Health,0
286,5,request,93121.0,Monash Health,1
287,5,request,93579.0,Monash Health,2
288,5,release,93725.65096053017,Monash Health,3
289,5,release,93725.65096053017,Monash Health,2
290,5,release,93725.65096053017,Monash Health,1
291,5,request,93911.0,Monash Health,0
292,5,request,94045.0,Monash Health,1
293,5,request,94066.0,Monash Health,2
294,5,release,94083.66485722698,Monash Health,3
295,5,request,94246.0,Monash Health,2
296,5,release,94959.47301484566,Monash Health,3
297,5,release,94959.47301484566,Monash Health,2
298,5,release,94959.47301484566,Monash Health,1
299,5,release,94959.47301484566,Monash Health,0
300,4,request,95180.0,Monash Health,0
301,5,release,95327.94789039154,Monash Health,0
302,4,request,95394.0,Monash Health,0
303,5,release,95463.8014708273,Monash Health,0
304,4,release,96054.03653977449,Monash Health,0
305,3,request,96458.0,Monash Health,0
306,4,request,96612.0,Monash Health,0
307,5,request,96793.0,Monash Health,0
308,5,release,96862.68235222777,Monash Health,1
309,5,request,98053.0,Monash Health,0
310,5,release,98245.27415757572,Monash Health,1
311,5,release,98420.07126233379,Monash Health,0
312,4,release,98910.0288120299,Monash Health,0
313,3,release,99023.77784978211,Monash Health,0
314,2,request,99485.0,Monash Health,0
315,3,release,99519.66896884689,Monash Health,0
316,2,release,101033.63941339082,Monash Health,0
317,1,request,101121.0,Monash Health,0
318,2,request,101142.0,Monash Health,0
319,3,request,101746.0,Monash Health,0
320,4,request,101824.0,Monash Health,0
321,5,request,101968.0,Monash Health,0
322,5,release,102376.22086017772,Monash Health,1
323,5,release,102376.22086017772,Monash Health,0
324,4,request,102460.0,Monash Health,0
325,5,request,102841.0,Monash Health,0
326,5,request,102868.0,Monash Health,1
327,5,request,103196.0,Monash Health,2
328,5,request,103394.0,Monash Health,3
329,5,release,103665.22096852284,Monash Health,4
330,5,release,103665.22096852284,Monash Health,3
331,5,release,103665.22096852284,Monash Health,2
332,5,release,103665.22096852284,Monash Health,1
333,5,release,104309.93626539185,Monash Health,0
334,4,release,104570.93305873676,Monash Health,0
335,3,request,104669.0,Monash Health,0
336,4,request,104863.0,Monash Health,0
337,5,release,104970.85689871277,Monash Health,0
338,4,release,105322.03979454355,Monash Health,0
339,3,release,106509.66933411414,Monash Health,0
340,2,request,107080.0,Monash Health,0
341,3,release,107407.62433635534,Monash Health,0
342,2,request,107710.0,Monash Health,0
343,3,request,107794.0,Monash Health,0
344,4,release,107942.76651715238,Monash Health,0
345,3,request,109208.0,Monash Health,0
346,4,request,109717.0,Monash Health,0
347,5,release,109991.5422355197,Monash Health,0
348,4,request,110432.0,Monash Health,0
349,5,release,110635.96957959177,Monash Health,0
350,4,release,110937.56332324375,Monash Health,0
351,3,request,111204.0,Monash Health,0
352,4,release,111915.29722719773,Monash Health,0
353,3,release,112538.09815196438,Monash Health,0
354,2,release,113008.27970129247,Monash Health,0
355,1,release,113074.46525934355,Monash Health,0
356,0,request,113573.0,Monash Health,0
357,1,request,114184.0,Monash Health,0
358,2,request,114631.0,Monash Health,0
359,3,request,114715.0,Monash Health,0
360,4,request,115386.0,Monash Health,0
361,5,request,115945.0,Monash Health,0
362,5,request,116043.0,Monash Health,1
363,5,request,116045.0,Monash Health,2
364,5,release,116143.55823177753,Monash Health,3
365,5,release,117184.88340555971,Monash Health,2
366,5,release,117184.88340555971,Monash Health,1
367,5,release,117184.88340555971,Monash Health,0
368,4,release,117235.04673558111,Monash Health,0
369,3,request,117454.0,Monash Health,0
370,4,release,117679.61064854474,Monash Health,0
371,3,request,118002.0,Monash Health,0
372,4,request,118261.0,Monash Health,0
373,5,request,118405.0,Monash Health,0
374,5,release,118485.56328963769,Monash Health,1
375,5,request,118967.0,Monash Health,0
376,5,release,119661.99529864425,Monash Health,1
377,5,release,119661.99529864425,Monash Health,0
378,4,request,120154.0,Monash Health,0
379,5,release,120604.17331413657,Monash Health,0
380,4,release,120688.09312116781,Monash Health,0
381,3,release,121047.29218561605,Monash Health,0
382,2,release,121147.4759690877,Monash Health,0
383,1,request,121791.0,Monash Health,0
384,2,release,122248.94350729388,Monash Health,0
385,1,request,122703.0,Monash Health,0
386,2,request,123333.0,Monash Health,0
387,3,request,123677.0,Monash Health,0
388,4,release,124716.33967628096,Monash Health,0
389,3,release,125737.53958717237,Monash Health,0
390,2,release,126010.25498527728,Monash Health,0
391,1,release,126405.04594645558,Monash Health,0
392,0,request,127034.0,Monash Health,0
393,1,request,127258.0,Monash Health,0
394,2,request,127297.0,Monash Health,0
395,3,request,129594.0,Monash Health,0
396,4,request,129791.0,Monash Health,0
397,5,release,130099.55234594634,Monash Health,0
398,4,release,130165.90711232215,Monash Health,0
399,3,release,130604.23539741246,Monash Health,0
400,2,request,131282.0,Monash Health,0
401,3,request,131383.0,Monash Health,0
402,4,release,132148.3296762718,Monash Health,0
403,3,request,132406.0,Monash Health,0
404,4,release,132533.07346721395,Monash Health,0
405,3,request,132691.0,Monash Health,0
406,4,request,132786.0,Monash Health,0
407,5,release,133768.628584018,Monash Health,0
408,4,request,133833.0,Monash Health,0
409,5,request,134052.0,Monash Health,0
410,5,request,134110.0,Monash Health,1
411,5,request,134445.0,Monash Health,2
412,5,request,134509.0,Monash Health,3
413,5,release,134561.32138507714,Monash Health,4
414,5,release,134561.32138507714,Monash Health,3
415,5,release,134561.32138507714,Monash Health,2
416,5,request,134643.0,Monash Health,1
417,5,release,135297.02067524302,Monash Health,2
418,5,release,135297.02067524302,Monash Health,1
419,5,release,135297.02067524302,Monash Health,0
420,4,release,135345.54745429198,Monash Health,0
421,3,release,136070.80701982672,Monash Health,0
422,2,release,136979.3548047263,Monash Health,0
423,1,request,137474.0,Monash Health,0
424,2,request,137624.0,Monash Health,0
425,3,release,137699.29022695188,Monash Health,0
426,2,request,138364.0,Monash Health,0
427,3,request,138592.0,Monash Health,0
428,4,request,139036.0,Monash Health,0
429,5,request,139597.0,Monash Health,0
430,5,release,140466.18458411744,Monash Health,1
431,5,release,140466.18458411744,Monash Health,0
432,4,release,140483.98211880223,Monash Health,0
433,3,request,140592.0,Monash Health,0
434,4,request,140614.0,Monash Health,0
435,5,request,141006.0,Monash Health,0
436,5,release,141011.6184222289,Monash Health,1
437,5,release,141043.7136474258,Monash Health,0
438,4,request,141571.0,Monash Health,0
439,5,request,141730.0,Monash Health,0
440,5,release,142455.21710846992,Monash Health,1
441,5,release,142455.21710846992,Monash Health,0
442,4,release,142918.06451105108,Monash Health,0
443,3,release,143370.35963910748,Monash Health,0
444,2,release,143432.77977809944,Monash Health,0
445,1,request,143756.0,Monash Health,0
446,2,request,143790.0,Monash Health,0
447,3,release,144236.6403453137,Monash Health,0
448,2,request,144709.0,Monash Health,0
449,3,request,145786.0,Monash Health,0
450,4,release,146345.53885912144,Monash Health,0
451,3,release,146622.35361124645,Monash Health,0
452,2,request,147003.0,Monash Health,0
453,3,request,147152.0,Monash Health,0
454,4,release,147156.38820730225,Monash Health,0
455,3,request,147409.0,Monash Health,0
456,4,request,148168.0,Monash Health,0
457,5,request,148577.0,Monash Health,0
458,5,request,148936.0,Monash Health,1
459,5,release,149027.61227892182,Monash Health,2
460,5,release,149027.61227892182,Monash Health,1
461,5,request,149407.0,Monash Health,0
462,5,request,149779.0,Monash Health,1
463,5,release,149980.9824958807,Monash Health,2
464,5,release,149980.9824958807,Monash Health,1
465,5,request,150080.0,Monash Health,0
466,5,release,150206.2113652848,Monash Health,1
467,5,request,150219.0,Monash Health,0
468,5,release,150369.63862920259,Monash Health,1
469,5,request,150581.0,Monash Health,0
470,5,request,150669.0,Monash Health,1
471,5,request,150952.0,Monash Health,2
472,5,release,151002.18871441827,Monash Health,3
473,5,release,151002.18871441827,Monash Health,2
