,capacity_at_event_time,event,event_time,name,queue_at_event_time
0,0,request,952.0,Austin Health,0
1,1,request,1216.0,Austin Health,0
2,2,request,1308.0,Austin Health,0
3,3,request,3156.0,Austin Health,0
4,4,release,3937.169499354356,Austin Health,0
5,3,request,4370.0,Austin Health,0
6,4,release,4428.2148632433655,Austin Health,0
7,3,release,4971.571588905876,Austin Health,0
8,2,request,5585.0,Austin Health,0
9,3,release,6073.304935586217,Austin Health,0
10,2,release,7382.692533626863,Austin Health,0
11,1,request,8360.0,Austin Health,0
12,2,request,8742.0,Austin Health,0
13,3,request,8839.0,Austin Health,0
14,4,release,9124.60759097194,Austin Health,0
15,3,request,10143.0,Austin Health,0
16,4,request,10733.0,Austin Health,0
17,5,release,11178.987516475525,Austin Health,0
18,4,release,11390.778271642866,Austin Health,0
19,3,release,11661.71355767696,Austin Health,0
20,2,request,12137.0,Austin Health,0
21,3,release,12728.266533815133,Austin Health,0
22,2,request,12931.0,Austin Health,0
23,3,release,13138.767402033718,Austin Health,0
24,2,request,13176.0,Austin Health,0
25,3,request,13354.0,Austin Health,0
26,4,request,14270.0,Austin Health,0
27,5,release,14795.531424526092,Austin Health,0
28,4,request,15816.0,Austin Health,0
29,5,release,15869.816079054392,Austin Health,0
30,4,release,15962.414018078229,Austin Health,0
31,3,release,16194.258820081199,Austin Health,0
32,2,request,16404.0,Austin Health,0
33,3,release,16618.722440608683,Austin Health,0
34,2,release,18308.328901559056,Austin Health,0
35,1,request,18779.0,Austin Health,0
36,2,request,18945.0,Austin Health,0
37,3,request,18996.0,Austin Health,0
38,4,request,19219.0,Austin Health,0
39,5,request,19541.0,Austin Health,0
40,5,request,19740.0,Austin Health,1
41,5,release,19864.491508342166,Austin Health,2
42,5,request,20035.0,Austin Health,1
43,5,request,20581.0,Austin Health,2
44,5,request,21056.0,Austin Health,3
45,5,request,21135.0,Austin Health,4
46,5,release,21633.480343019317,Austin Health,5
47,5,release,21633.480343019317,Austin Health,4
48,5,release,21633.480343019317,Austin Health,3
49,5,release,21633.480343019317,Austin Health,2
50,5,release,21633.480343019317,Austin Health,1
51,5,release,21633.480343019317,Austin Health,0
52,4,release,21755.226799668417,Austin Health,0
53,3,release,21765.756451806916,Austin Health,0
54,2,request,21963.0,Austin Health,0
55,3,request,22020.0,Austin Health,0
56,4,request,22482.0,Austin Health,0
57,5,release,22655.263436678284,Austin Health,0
58,4,release,23051.717197486007,Austin Health,0
59,3,request,23121.0,Austin Health,0
60,4,release,24704.428230421716,Austin Health,0
61,3,release,24848.175153394182,Austin Health,0
62,2,request,25098.0,Austin Health,0
63,3,release,25099.386361568744,Austin Health,0
64,2,request,25216.0,Austin Health,0
65,3,request,26072.0,Austin Health,0
66,4,release,26190.30169510691,Austin Health,0
67,3,request,27325.0,Austin Health,0
68,4,request,27910.0,Austin Health,0
69,5,release,27985.899245663553,Austin Health,0
70,4,release,28143.11106702115,Austin Health,0
71,3,request,28948.0,Austin Health,0
72,4,release,29048.690432076,Austin Health,0
73,3,release,29788.38136436116,Austin Health,0
74,2,request,30932.0,Austin Health,0
75,3,release,31231.033803428123,Austin Health,0
76,2,request,31868.0,Austin Health,0
77,3,release,31900.046064572256,Austin Health,0
78,2,request,32830.0,Austin Health,0
79,3,release,33200.868213855494,Austin Health,0
80,2,request,33468.0,Austin Health,0
81,3,request,33520.0,Austin Health,0
82,4,release,34382.31023116609,Austin Health,0
83,3,release,35111.51441770618,Austin Health,0
84,2,request,35801.0,Austin Health,0
85,3,release,35919.46883685814,Austin Health,0
86,2,release,36112.224461369435,Austin Health,0
87,1,request,36737.0,Austin Health,0
88,2,request,38698.0,Austin Health,0
89,3,release,38833.78583940428,Austin Health,0
90,2,request,38839.0,Austin Health,0
91,3,release,39622.559852606566,Austin Health,0
92,2,request,41473.0,Austin Health,0
93,3,request,41663.0,Austin Health,0
94,4,release,41688.62110175684,Austin Health,0
95,3,release,41779.71902322545,Austin Health,0
96,2,request,43432.0,Austin Health,0
97,3,request,43729.0,Austin Health,0
98,4,request,44300.0,Austin Health,0
99,5,release,44308.54245656896,Austin Health,0
100,4,release,44840.75957179868,Austin Health,0
101,3,release,46261.9758149319,Austin Health,0
102,2,request,46389.0,Austin Health,0
103,3,release,46412.41035924589,Austin Health,0
104,2,release,46865.0864002583,Austin Health,0
105,1,request,47613.0,Austin Health,0
106,2,request,48186.0,Austin Health,0
107,3,release,49232.96392653019,Austin Health,0
108,2,request,49341.0,Austin Health,0
109,3,request,49986.0,Austin Health,0
110,4,release,50440.67369464792,Austin Health,0
111,3,request,50758.0,Austin Health,0
112,4,request,50809.0,Austin Health,0
113,5,request,50830.0,Austin Health,0
114,5,release,50993.053214290034,Austin Health,1
115,5,request,51216.0,Austin Health,0
116,5,request,51650.0,Austin Health,1
117,5,request,51975.0,Austin Health,2
118,5,request,52444.0,Austin Health,3
119,5,release,52704.44838830198,Austin Health,4
120,5,release,52704.44838830198,Austin Health,3
121,5,release,52704.44838830198,Austin Health,2
122,5,release,52704.44838830198,Austin Health,1
123,5,release,53114.65258985268,Austin Health,0
124,4,release,53289.70437936646,Austin Health,0
125,3,release,53550.6523506906,Austin Health,0
126,2,release,53871.5189562429,Austin Health,0
127,1,release,55356.87732294283,Austin Health,0
128,0,request,57233.0,Austin Health,0
129,1,request,57497.0,Austin Health,0
130,2,request,57921.0,Austin Health,0
131,3,request,58959.0,Austin Health,0
132,4,request,59563.0,Austin Health,0
133,5,request,59586.0,Austin Health,0
134,5,release,60263.15049866114,Austin Health,1
135,5,release,60263.15049866114,Austin Health,0
136,4,release,60396.37789199548,Austin Health,0
137,3,release,60804.74176339575,Austin Health,0
138,2,request,61092.0,Austin Health,0
139,3,request,62027.0,Austin Health,0
140,4,release,62099.910413702084,Austin Health,0
141,3,release,62206.516594970555,Austin Health,0
142,2,request,62859.0,Austin Health,0
143,3,release,64007.65034223686,Austin Health,0
144,2,release,65292.525001113725,Austin Health,0
145,1,release,65944.75863363173,Austin Health,0
146,0,request,67350.0,Austin Health,0
147,1,request,67800.0,Austin Health,0
148,2,request,67917.0,Austin Health,0
149,3,request,68607.0,Austin Health,0
150,4,request,69994.0,Austin Health,0
151,5,request,70127.0,Austin Health,0
152,5,release,70152.38192085573,Austin Health,1
153,5,request,70632.0,Austin Health,0
154,5,release,70715.68215385558,Austin Health,1
155,5,release,71334.76472880437,Austin Health,0
156,4,release,71610.99176708465,Austin Health,0
157,3,request,72192.0,Austin Health,0
158,4,release,72362.01227897685,Austin Health,0
159,3,request,72800.0,Austin Health,0
160,4,request,72864.0,Austin Health,0
161,5,release,73089.55578353618,Austin Health,0
162,4,release,73408.62829494126,Austin Health,0
163,3,request,73734.0,Austin Health,0
164,4,request,75485.0,Austin Health,0
165,5,release,75508.32629162175,Austin Health,0
166,4,request,75575.0,Austin Health,0
167,5,release,75650.7459258741,Austin Health,0
168,4,release,75938.61106191308,Austin Health,0
169,3,request,76224.0,Austin Health,0
170,4,release,76250.90184983543,Austin Health,0
171,3,release,78610.89693543743,Austin Health,0
172,2,release,78718.88445445026,Austin Health,0
173,1,release,78803.57001830108,Austin Health,0
174,0,request,79479.0,Austin Health,0
175,1,request,79659.0,Austin Health,0
176,2,request,80273.0,Austin Health,0
177,3,request,80963.0,Austin Health,0
178,4,release,82191.37769511761,Austin Health,0
179,3,request,82892.0,Austin Health,0
180,4,release,83137.56896480599,Austin Health,0
181,3,release,83217.59126789817,Austin Health,0
182,2,release,83590.23475775022,Austin Health,0
183,1,request,84500.0,Austin Health,0
184,2,request,85593.0,Austin Health,0
185,3,request,86447.0,Austin Health,0
186,4,release,86505.07358768888,Austin Health,0
187,3,request,86589.0,Austin Health,0
188,4,release,86987.8824856882,Austin Health,0
189,3,request,87652.0,Austin Health,0
190,4,request,88066.0,Austin Health,0
191,5,release,88750.1393024585,Austin Health,0
192,4,release,88795.77353721362,Austin Health,0
193,3,request,89651.0,Austin Health,0
194,4,release,89774.80040114836,Austin Health,0
195,3,request,89953.0,Austin Health,0
196,4,release,90499.55234154135,Austin Health,0
197,3,request,90682.0,Austin Health,0
198,4,release,90894.81988139934,Austin Health,0
199,3,request,91148.0,Austin Health,0
200,4,request,91285.0,Austin Health,0
201,5,request,91396.0,Austin Health,0
202,5,release,92199.11384719708,Austin Health,1
203,5,release,92199.11384719708,Austin Health,0
204,4,release,92701.37013349842,Austin Health,0
205,3,request,93358.0,Austin Health,0
206,4,release,93556.69529225554,Austin Health,0
207,3,release,93780.86642710981,Austin Health,0
208,2,request,94055.0,Austin Health,0
209,3,release,94269.53660215858,Austin Health,0
210,2,request,95199.0,Austin Health,0
211,3,release,95470.54746553965,Austin Health,0
212,2,request,95561.0,Austin Health,0
213,3,release,96717.13936749595,Austin Health,0
214,2,release,98257.30995544647,Austin Health,0
215,1,release,98622.41748849158,Austin Health,0
216,0,request,99934.0,Austin Health,0
217,1,request,101382.0,Austin Health,0
218,2,request,101624.0,Austin Health,0
219,3,request,102758.0,Austin Health,0
220,4,release,102902.83409647412,Austin Health,0
221,3,request,104017.0,Austin Health,0
222,4,release,104414.65710229226,Austin Health,0
223,3,release,104678.65183496606,Austin Health,0
224,2,release,105676.28138399843,Austin Health,0
225,1,request,105999.0,Austin Health,0
226,2,request,107473.0,Austin Health,0
227,3,release,107541.41616651464,Austin Health,0
228,2,request,108933.0,Austin Health,0
229,3,release,109277.92141002277,Austin Health,0
230,2,release,110145.75691192268,Austin Health,0
231,1,request,110202.0,Austin Health,0
232,2,request,111635.0,Austin Health,0
233,3,release,111784.1774008905,Austin Health,0
234,2,request,112063.0,Austin Health,0
235,3,release,113681.27427493209,Austin Health,0
236,2,request,114022.0,Austin Health,0
237,3,request,114133.0,Austin Health,0
238,4,release,114532.42316986923,Austin Health,0
239,3,release,115438.09097538824,Austin Health,0
240,2,request,117205.0,Austin Health,0
241,3,release,117349.82966857258,Austin Health,0
242,2,release,117353.35242258353,Austin Health,0
243,1,request,118639.0,Austin Health,0
244,2,request,118849.0,Austin Health,0
245,3,request,118919.0,Austin Health,0
246,4,release,120419.2601623353,Austin Health,0
247,3,release,121375.1871183527,Austin Health,0
248,2,release,121883.50924541755,Austin Health,0
249,1,release,121987.8011317112,Austin Health,0
250,0,request,122509.0,Austin Health,0
251,1,request,123859.0,Austin Health,0
252,2,release,125328.87696908519,Austin Health,0
253,1,release,125789.0364104814,Austin Health,0
254,0,request,126834.0,Austin Health,0
255,1,request,127513.0,Austin Health,0
256,2,request,128272.0,Austin Health,0
257,3,request,129191.0,Austin Health,0
258,4,release,129714.25148887663,Austin Health,0
259,3,request,129802.0,Austin Health,0
260,4,request,129860.0,Austin Health,0
261,5,release,130512.2762881864,Austin Health,0
262,4,request,130642.0,Austin Health,0
263,5,release,130684.57157631151,Austin Health,0
264,4,request,131021.0,Austin Health,0
265,5,request,131260.0,Austin Health,0
266,5,release,132181.75127332172,Austin Health,1
267,5,release,132181.75127332172,Austin Health,0
268,4,request,132543.0,Austin Health,0
269,5,release,132649.03627854883,Austin Health,0
270,4,release,132910.7655642318,Austin Health,0
271,3,release,133437.01469821137,Austin Health,0
272,2,release,133535.03223279538,Austin Health,0
273,1,request,134944.0,Austin Health,0
274,2,release,135545.67929718,Austin Health,0
275,1,request,135903.0,Austin Health,0
276,2,request,136442.0,Austin Health,0
277,3,request,136767.0,Austin Health,0
