,capacity_at_event_time,event,event_time,name,queue_at_event_time
0,0,request,981.0,Austin Health,0
1,1,request,1122.0,Austin Health,0
2,2,request,1388.0,Austin Health,0
3,3,request,1674.0,Austin Health,0
4,4,request,1970.0,Austin Health,0
5,5,request,2853.0,Austin Health,0
6,5,request,3133.0,Austin Health,1
7,5,request,3159.0,Austin Health,2
8,5,request,3562.0,Austin Health,3
9,5,release,3907.6120969707717,Austin Health,4
10,5,release,3907.6120969707717,Austin Health,3
11,5,release,3907.6120969707717,Austin Health,2
12,5,release,3907.6120969707717,Austin Health,1
13,5,release,3989.397865123653,Austin Health,0
14,4,release,4158.779383368947,Austin Health,0
15,3,release,4523.263832606526,Austin Health,0
16,2,release,4881.701754028655,Austin Health,0
17,1,request,6556.0,Austin Health,0
18,2,release,6732.723884028379,Austin Health,0
19,1,request,7074.0,Austin Health,0
20,2,request,8096.0,Austin Health,0
21,3,request,8631.0,Austin Health,0
22,4,request,8781.0,Austin Health,0
23,5,release,9788.812470259752,Austin Health,0
24,4,release,10145.338181945259,Austin Health,0
25,3,request,10881.0,Austin Health,0
26,4,release,11367.840616711932,Austin Health,0
27,3,release,11510.62194722486,Austin Health,0
28,2,request,11540.0,Austin Health,0
29,3,release,12083.922176131797,Austin Health,0
30,2,release,13998.358924564734,Austin Health,0
31,1,request,14156.0,Austin Health,0
32,2,request,14403.0,Austin Health,0
33,3,request,14552.0,Austin Health,0
34,4,release,14570.00337987255,Austin Health,0
35,3,request,14774.0,Austin Health,0
36,4,release,17261.631588230885,Austin Health,0
37,3,release,17357.19295321686,Austin Health,0
38,2,release,17606.696564087357,Austin Health,0
39,1,release,18366.360097035475,Austin Health,0
40,0,request,21185.0,Austin Health,0
41,1,request,21246.0,Austin Health,0
42,2,request,22083.0,Austin Health,0
43,3,request,22157.0,Austin Health,0
44,4,request,22347.0,Austin Health,0
45,5,release,23344.250722956895,Austin Health,0
46,4,request,23571.0,Austin Health,0
47,5,release,23833.093047522874,Austin Health,0
48,4,request,24411.0,Austin Health,0
49,5,request,24720.0,Austin Health,0
50,5,release,24738.41054867133,Austin Health,1
51,5,release,24971.576407022232,Austin Health,0
52,4,release,25066.42611966486,Austin Health,0
53,3,request,25714.0,Austin Health,0
54,4,release,26615.10207289046,Austin Health,0
55,3,release,26680.94434852896,Austin Health,0
56,2,request,26724.0,Austin Health,0
57,3,release,28031.44478239719,Austin Health,0
58,2,release,29244.980670347974,Austin Health,0
59,1,release,29919.02972432101,Austin Health,0
60,0,request,30556.0,Austin Health,0
61,1,request,30810.0,Austin Health,0
62,2,request,30838.0,Austin Health,0
63,3,request,31133.0,Austin Health,0
64,4,request,31594.0,Austin Health,0
65,5,release,33542.43026548677,Austin Health,0
66,4,release,33681.99322020331,Austin Health,0
67,3,release,33945.800997920865,Austin Health,0
68,2,release,34350.17517070755,Austin Health,0
69,1,release,34917.936971292715,Austin Health,0
70,0,request,35339.0,Austin Health,0
71,1,release,38222.88528927532,Austin Health,0
72,0,request,39471.0,Austin Health,0
73,1,release,42742.6062108812,Austin Health,0
74,0,request,43218.0,Austin Health,0
75,1,request,44387.0,Austin Health,0
76,2,release,45919.9406069855,Austin Health,0
77,1,request,46031.0,Austin Health,0
78,2,request,46546.0,Austin Health,0
79,3,release,47392.90521755149,Austin Health,0
80,2,request,47734.0,Austin Health,0
81,3,release,49139.37844603555,Austin Health,0
82,2,release,49623.4494819808,Austin Health,0
83,1,release,50632.77401742096,Austin Health,0
84,0,request,50943.0,Austin Health,0
85,1,request,51190.0,Austin Health,0
86,2,request,52156.0,Austin Health,0
87,3,request,52681.0,Austin Health,0
88,4,request,53643.0,Austin Health,0
89,5,request,53731.0,Austin Health,0
90,5,release,54146.92473836098,Austin Health,1
91,5,release,54146.92473836098,Austin Health,0
92,4,release,54434.19202042125,Austin Health,0
93,3,request,55108.0,Austin Health,0
94,4,request,55121.0,Austin Health,0
95,5,release,55166.33415266952,Austin Health,0
96,4,release,55194.46416760111,Austin Health,0
97,3,request,56310.0,Austin Health,0
98,4,release,57106.17608532627,Austin Health,0
99,3,request,57426.0,Austin Health,0
100,4,release,58166.389724975284,Austin Health,0
101,3,release,58700.98843420136,Austin Health,0
102,2,release,59084.76173529847,Austin Health,0
103,1,request,59768.0,Austin Health,0
104,2,request,59992.0,Austin Health,0
105,3,release,60371.24472113065,Austin Health,0
106,2,request,60587.0,Austin Health,0
107,3,request,61156.0,Austin Health,0
108,4,request,61271.0,Austin Health,0
109,5,request,61346.0,Austin Health,0
110,5,release,62284.80179441069,Austin Health,1
111,5,release,62284.80179441069,Austin Health,0
112,4,release,63078.3907500926,Austin Health,0
113,3,release,63515.22381741999,Austin Health,0
114,2,request,63662.0,Austin Health,0
115,3,release,63819.36979262025,Austin Health,0
116,2,release,63923.02593181794,Austin Health,0
117,1,request,64179.0,Austin Health,0
118,2,request,64953.0,Austin Health,0
119,3,request,65045.0,Austin Health,0
120,4,request,65110.0,Austin Health,0
121,5,request,65497.0,Austin Health,0
122,5,request,66378.0,Austin Health,1
123,5,release,66407.21774542196,Austin Health,2
124,5,release,66407.21774542196,Austin Health,1
125,5,release,67591.26769622104,Austin Health,0
